Seq_id	Size	Description
1	4630707	gi|386593590|ref|NC_017625.1|
2	5186416	gi|386612163|ref|NC_017641.1|
3	5386223	gi|387880559|ref|NC_017906.1|
4	4900968	gi|386607309|ref|NC_017635.1|
5	68	contig_0_9_8_0_l=000068
6	68	contig_1_9_8_47_l=000068
7	88	contig_2_19_18_0_l=000088
8	88	contig_3_19_18_27_l=000088
9	111	contig_4_51299_51298_0_l=000111
10	3027	contig_5_51_50_0_l=003027
11	1221	contig_6_4157_4156_0_l=001221
12	212584	contig_7_4789_4788_0_l=212584
13	88668	contig_8_4179_4178_0_l=088668
14	1255	contig_9_91_90_0_l=001255
15	258	contig_10_2147_2146_0_l=000258
16	1536	contig_11_4205_4204_0_l=001536
17	281	contig_12_2175_2174_0_l=000281
18	59929	contig_13_4227_4226_0_l=059929
19	78	contig_14_135_134_0_l=000078
20	78	contig_15_135_134_37_l=000078
21	2825	contig_16_4237_4236_0_l=002825
22	61	contig_17_20623_20622_0_l=000061
23	5403	contig_18_4241_4240_0_l=005403
24	19528	contig_19_4247_4246_0_l=019528
25	56	contig_20_37231_37230_0_l=000056
26	275	contig_21_167_166_0_l=000275
27	1232	contig_22_179_178_0_l=001232
28	1527	contig_23_4281_4280_0_l=001527
29	111	contig_24_53447_53446_0_l=000111
30	235	contig_25_207_206_0_l=000235
31	231	contig_26_217_216_0_l=000231
32	1054	contig_27_379_378_0_l=001054
33	930	contig_28_4335_4334_0_l=000930
34	174	contig_29_4345_4344_0_l=000174
35	109	contig_30_4345_4344_6_l=000109
36	56	contig_31_37243_37242_0_l=000056
37	2051	contig_32_253_252_0_l=002051
38	98	contig_33_257_256_0_l=000098
39	98	contig_34_257_256_17_l=000098
40	111	contig_35_4365_4364_0_l=000111
41	3097	contig_36_4369_4368_0_l=003097
42	174	contig_37_4379_4378_0_l=000174
43	273	contig_38_53545_53544_0_l=000273
44	135502	contig_39_4401_4400_0_l=135502
45	573	contig_40_4409_4408_0_l=000573
46	6660	contig_41_4415_4414_0_l=006660
47	66	contig_42_323_322_0_l=000066
48	66	contig_43_323_322_49_l=000066
49	706	contig_44_325_324_0_l=000706
50	204	contig_45_4429_4428_0_l=000204
51	82	contig_46_16723_16722_0_l=000082
52	4761	contig_47_4437_4436_0_l=004761
53	325	contig_48_343_342_0_l=000325
54	8668	contig_49_4445_4444_0_l=008668
55	1031	contig_50_351_350_0_l=001031
56	286	contig_51_4449_4448_0_l=000286
57	5659	contig_52_4457_4456_0_l=005659
58	10497	contig_53_4461_4460_0_l=010497
59	109	contig_54_4463_4462_0_l=000109
60	43804	contig_55_4465_4464_0_l=043804
61	2335	contig_56_4469_4468_0_l=002335
62	42110	contig_57_4471_4470_0_l=042110
63	91778	contig_58_4475_4474_0_l=091778
64	14370	contig_59_4479_4478_0_l=014370
65	8055	contig_60_4489_4488_0_l=008055
66	991	contig_61_395_394_0_l=000991
67	16200	contig_62_4495_4494_0_l=016200
68	13164	contig_63_4499_4498_0_l=013164
69	633	contig_64_4503_4502_0_l=000633
70	26496	contig_65_4505_4504_0_l=026496
71	54858	contig_66_4507_4506_0_l=054858
72	55	contig_67_415_414_0_l=000055
73	383	contig_68_4513_4512_0_l=000383
74	5	contig_69_421_420_0_l=000005
75	55	contig_70_423_422_0_l=000055
76	55	contig_71_425_424_0_l=000055
77	110	contig_72_427_426_0_l=000110
78	55	contig_73_429_428_0_l=000055
79	93	contig_74_413_412_0_l=000093
80	1	contig_75_433_432_0_l=000001
81	55	contig_76_435_434_0_l=000055
82	34	contig_77_437_436_0_l=000034
